file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,53,css,305162fc,mkalsi13,2025-10-10,22:27:35,-07:00,2025-10-10T22:27:35-07:00,0,8
style.css,54,css,305162fc,mkalsi13,2025-10-10,22:27:35,-07:00,2025-10-10T22:27:35-07:00,1,11
style.css,55,css,305162fc,mkalsi13,2025-10-10,22:27:35,-07:00,2025-10-10T22:27:35-07:00,1,55
style.css,56,css,305162fc,mkalsi13,2025-10-10,22:27:35,-07:00,2025-10-10T22:27:35-07:00,1,6
style.css,57,css,305162fc,mkalsi13,2025-10-10,22:27:35,-07:00,2025-10-10T22:27:35-07:00,1,16
style.css,58,css,305162fc,mkalsi13,2025-10-10,22:27:35,-07:00,2025-10-10T22:27:35-07:00,0,0
style.css,59,css,305162fc,mkalsi13,2025-10-10,22:27:35,-07:00,2025-10-10T22:27:35-07:00,0,16
style.css,60,css,bbf03db7,mkalsi13,2025-10-17,23:03:31,-07:00,2025-10-17T23:03:31-07:00,1,42
style.css,61,css,bbf03db7,mkalsi13,2025-10-17,23:03:31,-07:00,2025-10-17T23:03:31-07:00,1,78
style.css,62,css,bbf03db7,mkalsi13,2025-10-17,23:03:31,-07:00,2025-10-17T23:03:31-07:00,1,35
style.css,63,css,305162fc,mkalsi13,2025-10-10,22:27:35,-07:00,2025-10-10T22:27:35-07:00,0,0
style.css,64,css,305162fc,mkalsi13,2025-10-10,22:27:35,-07:00,2025-10-10T22:27:35-07:00,0,29
style.css,65,css,305162fc,mkalsi13,2025-10-10,22:27:35,-07:00,2025-10-10T22:27:35-07:00,0,28
style.css,66,css,305162fc,mkalsi13,2025-10-10,22:27:35,-07:00,2025-10-10T22:27:35-07:00,0,41
style.css,67,css,bbf03db7,mkalsi13,2025-10-17,23:03:31,-07:00,2025-10-17T23:03:31-07:00,0,0
style.css,68,css,bbf03db7,mkalsi13,2025-10-17,23:03:31,-07:00,2025-10-17T23:03:31-07:00,0,18
style.css,69,css,bbf03db7,mkalsi13,2025-10-17,23:03:31,-07:00,2025-10-17T23:03:31-07:00,0,64
style.css,70,css,bbf03db7,mkalsi13,2025-10-17,23:03:31,-07:00,2025-10-17T23:03:31-07:00,0,32
style.css,71,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,0,21
style.css,72,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,0,8
style.css,73,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,1,12
style.css,74,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,1,36
style.css,75,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,1,15
style.css,76,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,1,20
style.css,77,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,0,0
style.css,78,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,0,0
style.css,79,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,0,11
style.css,80,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,1,10
style.css,81,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,1,15
style.css,82,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,0,0
style.css,83,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,0,0
style.css,84,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,0,11
style.css,85,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,1,10
style.css,86,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,1,8
style.css,87,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,0,0
style.css,88,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,0,0
style.css,89,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,0,14
style.css,90,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,1,17
style.css,91,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,1,15
style.css,92,css,2fcd4a99,mkalsi13,2025-10-24,22:26:18,-07:00,2025-10-24T22:26:18-07:00,1,64
